"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076680","MEXICO CITY, MX","2021-02-02",,,,
"MXM00076680","MEXICO CITY, MX","2021-02-05","76",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-06","84",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-07","82",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-08","81",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-09","81",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-13","72",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-15","76",",,S","43",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-16","77",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-17","78",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-18",,,,
"MXM00076680","MEXICO CITY, MX","2021-02-22","82",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-24","80",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-25",,,,
"MXM00076680","MEXICO CITY, MX","2021-02-27","85",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-02-28","86",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-01","86",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-02","87",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-03","83",",,S","58",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-04","83",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-05","85",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-07","77",",,S","51",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-09","80",",,S","45",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-10",,,,
"MXM00076680","MEXICO CITY, MX","2021-03-11","83",",,S","50",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-13","85",",,S","49",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-15","84",",,S","57",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-16","84",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-17","85",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-19","77",",,S","47",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-20",,,,
"MXM00076680","MEXICO CITY, MX","2021-03-21","79",",,S","53",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-22",,,,
"MXM00076680","MEXICO CITY, MX","2021-03-23","83",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-03-24","82",",,S","52",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-10",,,,
"MXM00076680","MEXICO CITY, MX","2021-04-17","86",",,S","62",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-19","85",",,S","55",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-20",,,,
"MXM00076680","MEXICO CITY, MX","2021-04-21","86",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-22","84",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-24",,,,
"MXM00076680","MEXICO CITY, MX","2021-04-26","88",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2021-04-29","89",",,S","54",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-04","85",",,S","56",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-05","87",",,S","59",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-09","80",",,S","61",",,S"
"MXM00076680","MEXICO CITY, MX","2021-05-10",,,,
