"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076726","CUERNAVACA, MX","2020-10-31",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-13",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-14",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-15",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-16",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-17","82",",,S","55",",,S"
"MXM00076726","CUERNAVACA, MX","2020-11-18",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-19","82",",,S","48",",,S"
"MXM00076726","CUERNAVACA, MX","2020-11-20",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-21",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-22",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-23",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-24",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-25",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-26",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-27",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-28",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-29",,,,
"MXM00076726","CUERNAVACA, MX","2020-11-30",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-01","79",",,S","59",",,S"
"MXM00076726","CUERNAVACA, MX","2020-12-02",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-03",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-04",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-05",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-06",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-07",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-08",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-09",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-10",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-11",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-12",,,,
"MXM00076726","CUERNAVACA, MX","2020-12-13",,,,
